"","beta.1.","beta.2.","beta.3.","beta.4.","beta.5.","beta.6.","beta.7.","beta.8.","beta.9.","beta.10.","beta.11.","beta.12.","beta.13.","beta.14.","beta.15.","beta.16.","beta.17."
"11",-0.574501659175194,0.692919010966153,-0.0632920474987115,-0.166718868287707,-0.0587457740564081,0.37199669211883,-2.11157925218783,-2.33490402399663,0.0646729777192043,-2.0143339718551,-1.77184898715119,0.328407895269434,-0.0671945519429998,-0.00362830186016827,0.500259519017097,-0.596530133988867,2.21180661155726
"12",-0.52427201689895,-0.211540112373759,-0.00863838808176398,-0.134414757037959,0.11303494793775,0.333064830205386,-2.37180502866887,-2.29721766484206,0.17570182870097,-0.732841081106662,-1.80473670148393,0.241531506192899,-0.0894179587049488,0.118417489110631,0.4804828148701,-0.705561678020321,2.18984887857518
"13",-0.56473271072784,-0.119723780845536,-0.172400284409236,-0.0924741217313443,0.0606120119936136,0.0835600498796976,-2.5986273689466,-2.20812037826795,0.132749611528868,-1.24850315956824,-1.84295565259031,0.257838218626155,-0.108813573643948,0.0297904184147303,0.438565723329597,-0.672707530475923,2.18247678941155
"14",-0.552300444943923,-0.113219757870182,-0.228802137848502,-0.21994121059284,0.0709738788827721,-0.0736806832346296,-1.86034015417726,-2.19950011024142,0.194712153111719,-0.731418587114868,-1.83702067658796,0.249687907379183,-0.151234232245982,0.100052298423916,0.458320719732986,-0.733116353225844,2.22580335448751
"15",-0.674742878587807,-1.13693822445866,0.0405820002829962,-0.0682723274960337,0.0267437024965576,-0.721724985428932,-1.89395104082646,-2.1558126401161,0.215787886673219,-0.830026571323882,-1.71236289559461,0.248626475641878,-0.0698624472991839,0.194918265846504,0.409260084951629,-0.654482554751277,2.21557598853674
"16",-0.72337403424171,2.88072887463819,0.0331790410843734,-0.116471129471532,-0.144068870302417,-0.323812903098052,-1.95598661795131,-2.09516500659228,0.287161000434816,-1.08295966234857,-1.59088106551903,0.302966194518451,-0.0738659502751195,0.0719141936173462,0.421340950115545,-0.730551588470048,2.20565423790991
"17",-0.722166003035008,1.96840574650215,0.0551917586940785,-0.152155412158927,-0.105175166846625,-0.209530046277962,-2.41543013160881,-2.09812107181382,0.192268637383412,-0.235191580825732,-1.72058756169664,0.274671357685207,-0.0593003121505519,0.142784101094333,0.490531186300193,-0.697200872806769,2.20106161976539
"18",-0.561742168448836,-0.254991739075501,-0.145347234528846,-0.19863508090738,-0.0942486595322389,-0.679707806602508,-1.87134972336232,-2.18405209528092,0.233742329227859,0.0542527095708711,-1.78288520639664,0.266396491075019,-0.118451626050785,0.0288540795930941,0.413810246691441,-0.78365378278277,2.14828582040726
"19",-0.553007200155793,1.89266583962576,0.0128379196473115,-0.136476060500426,-0.173807994594905,0.166268731251293,-1.92433674059343,-2.19206297534549,0.0104921287525994,1.27615250453571,-1.9092464830599,0.224604377273777,-0.110115091312611,0.138004818915559,0.404033142280501,-0.69822112042687,2.13038344046877
"20",-0.580384948253835,-0.0417569987800516,-0.154858514313339,-0.216051142452164,-0.130785700161428,-1.13987208125269,-2.12713251280755,-2.18387651125521,0.181593577392645,-2.03966809650056,-1.7367131653171,0.277215903192889,-0.0828200987850493,0.200211125800119,0.412245775397291,-0.71857107114739,2.15993660389469
"21",-0.589820573736273,-0.399694718769856,-0.0659000412808101,-0.182966616163154,0.00287008903806096,0.219053244396365,-1.99721783975447,-2.16025341747422,0.333672572965359,0.51173464722005,-1.46578949349431,0.293350667489341,-0.121100640864577,0.212450685769333,0.37588899753465,-0.762340123309347,2.26087328063488
"22",-0.690793912371693,0.218156745866929,-0.0854717819660805,-0.248200283460474,0.263863696496301,0.311681161247638,-1.88578704171032,-2.10417478523001,0.230541292153565,-0.318705496907694,-1.42687055903284,0.255359791815043,-0.0558287342651162,0.0811817158847732,0.426643174520837,-0.705882493331235,2.12558771244403
"23",-0.7328122218323,1.89345564033524,-0.213430185316382,-0.094120462985609,0.0484087958660065,-0.313686868729947,-2.32133028329566,-2.09418425070649,0.232323149875051,-0.549011118096761,-1.62741078137299,0.296992091998222,-0.0130724224174123,0.0747684729363478,0.415400111979787,-0.714771245235757,2.25876076389156
"24",-0.779269717929946,0.482522403631021,-0.0328514171749063,-0.218994477206889,-0.0916231126907739,-0.249615391224878,-1.9951827352793,-2.01852909017333,0.393603766896292,-0.0657453170013051,-1.80862156463681,0.269407558040137,0.0091356929699675,0.122170965858496,0.38002968546457,-0.749966701643654,2.25990818820078
"25",-0.784359888214386,1.1620118018572,0.0560345359972962,-0.268070055463486,0.126238394850187,-0.731309513233368,-1.94210873459358,-2.02347437201082,0.419122311013074,0.219416651183036,-1.52612564831718,0.286624581631539,-0.163705957331747,0.150230981751017,0.481554039149111,-0.642404388125224,2.22426406028032
"26",-0.756250158944321,0.387218429371846,-0.0448848671802176,-0.0828090758194338,-0.142114111177775,-0.10074454099977,-1.87682324185455,-2.0286357426573,0.317205286164405,1.22421501210129,-1.78021230120518,0.312504690558754,-0.0687432744666255,0.18668548160205,0.385925575456794,-0.741678677007933,2.08942019405959
"27",-0.69322914637716,2.05369060902429,0.166985908828591,-0.146642928555426,-0.150389116700641,-0.515299796042978,-2.63508987595793,-2.07402719255011,0.174693073066676,0.31574365892098,-1.62700084339311,0.285072152479471,-0.152779468317207,0.057453968778979,0.390013944808169,-0.724619375722401,2.20756473809257
"28",-0.579097430466144,-0.424723880154284,0.053935536541144,-0.196453569490793,-0.120717408756832,-0.850043520538808,-2.1621197724444,-2.17622683865259,0.200684832063388,-0.319540291384821,-1.65658510451158,0.284571381671262,-0.0952584327235865,0.0399259660859251,0.412515697498996,-0.72713030451271,2.12425384558306
"29",-0.628218244759563,2.43498472856442,-0.0210634446377954,-0.0597471765359849,-0.127704881859855,0.500607395351305,-2.17001697783246,-2.10094533688576,0.319129826952173,-0.039159239480401,-1.65297697641164,0.259092353638504,-0.100084417646973,0.164749745273534,0.310202579369108,-0.805147958268479,2.22351898479024
"30",-0.539009575410455,0.247736494003896,0.0400617293416489,-0.191550908180956,-0.207024980196891,0.464819080306817,-1.98653275619338,-2.14703165319999,0.099219135959397,-2.10053983141486,-1.71784469847431,0.175106873062636,-0.118341339831847,0.100592875917067,0.414165565559575,-0.773609653305313,2.17072084441216
"31",-0.56155641370835,1.70682413783847,-0.0980481195391881,-0.0908735237840086,0.0564256917673358,-0.6188232770975,-2.04132303188727,-2.22300720953915,0.14024511930742,-0.412037829722996,-1.75124112757981,0.273389982133518,-0.0725283913072572,0.0793356688604762,0.387618275176146,-0.705072863430338,2.21222645186969
"32",-0.593133385416466,0.0848717769870124,-0.166273452699907,-0.271644973037557,-0.0961881992195904,-0.552023782392884,-2.12881418316178,-2.1185479417757,0.170232268252401,-0.206996843372205,-1.65137492399458,0.224620590349076,-0.0668202701463081,-0.0329227172917786,0.444395742091558,-0.704330259795142,2.19127266270158
"33",-0.565702403697261,0.244382298108676,-0.21085937719395,-0.216434572445698,-0.161659893976359,-0.692337514416678,-2.3355083412406,-2.20782570207546,0.0968292399490129,-0.884670513167436,-1.70180830396005,0.184675952786363,-0.0617239268034672,0.0606030989361953,0.461708823745222,-0.691866771375212,2.19670117113524
"34",-0.580572761354553,-1.03006281343627,0.176649975179006,-0.169299108788438,-0.367707870290612,-0.880842324840782,-2.21506119351812,-2.21998437165767,0.0806062439887562,-0.244045819229752,-1.78430773362924,0.203891536609937,-0.112374525965868,0.151088930691986,0.480608194694946,-0.795353474906888,2.29553029277991
"35",-0.548258434699772,0.876254685952303,0.0485708932827199,-0.148416839799146,0.0495874533217324,0.043868331839804,-2.29432855060222,-2.28316622967581,0.128580736214357,-0.0424268140575803,-1.64450842401663,0.226853925766065,-0.113182595095537,-0.00220960418176294,0.477558078836837,-0.590265971600781,2.12195934494767
"36",-0.535177694701763,-1.4524280859942,0.0845721117145346,-0.171822748410361,0.0418140568640721,-0.795925256993617,-2.61201599657097,-2.31585876702327,0.0827152554176516,-0.997588809902584,-1.80247536196295,0.258168914659448,-0.0414403032905108,0.0347276758493507,0.494310315389976,-0.650805969422925,2.29384894206454
"37",-0.517701576085547,0.419175211324999,0.0514532159094742,-0.115677926996117,-0.493414228493804,-0.606739686311198,-2.17967163897285,-2.30769858632194,0.0613405566437245,-0.576841407096824,-1.95397484923038,0.315043692189479,-0.128762793592045,0.128026667758282,0.457732925699366,-0.69011060294449,2.16533843873866
