LNG,LAT,X,Y,crashYear,holidayNew,region,policeDistrict,areaUnitID,crashLocation1,weatherA,vehicleType,light,roadSurface,roadType,speedLimit,pedestrian,minorInjuryCount,fatalCount,severeOrFatal
173.2431616,-35.14761262,1622149,6110560,2020,not holiday,Northland Region,Northland,500204,KAITAIA-AWAROA ROAD,Fine,car,Dark,Sealed,Highway,100,NA,3,1,TRUE
174.732991,-36.75888069,1754687,5930475,2000,not holiday,Auckland Region,Counties Manukau,508420,TOTARAVALE DRIVE,Fine,car,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
174.6911205,-36.91689618,1750639,5913011,2006,not holiday,Auckland Region,Counties Manukau,511303,PORTAGE ROAD,Fine,car,Dark,Sealed,Urban Road,50,NA,1,0,TRUE
174.7912156,-36.89237256,1759607,5915569,2006,not holiday,Auckland Region,Counties Manukau,519200,GREEN LANE WEST,Fine,car,Dark,Sealed,Urban Road,50,NA,3,0,TRUE
170.996211,-42.69036606,1435854,5271622,2004,not holiday,West Coast Region,Tasman,585316,SH 6,Fine,car,Bright sun,Sealed,Highway,100,NA,0,1,TRUE
172.4420848,-43.64531328,1555004,5167369,2017,not holiday,Canterbury Region,Canterbury,597512,ELLESMERE JUNCTION ROAD,Fine,car,Bright sun,Sealed,Highway,100,NA,0,0,TRUE
175.2743987,-37.78572037,1800279,5815523,2014,not holiday,Waikato Region,Waikato,529700,NORTON ROAD,Fine,bus,Bright sun,Sealed,Urban Road,50,1,0,0,TRUE
172.6147469,-43.55354412,1568882,5177640,2013,not holiday,Canterbury Region,Canterbury,594800,BARRINGTON ST,Fine,car,Twilight,Sealed,Urban Road,50,NA,0,0,TRUE
176.1091951,-38.06776937,1872760,5782100,2006,not holiday,Bay of Plenty Region,Bay of Plenty,538811,SH 5,Fine,car,Overcast,Sealed,Highway,100,NA,0,0,TRUE
175.6818506,-38.31859175,1834457,5755432,2009,not holiday,Waikato Region,Waikato,541320,WAIPAPA ROAD,Fine,motorcycle,Bright sun,Sealed,Highway,100,NA,1,2,TRUE
173.0165538,-41.15196524,1601389,5444373,2004,not holiday,Tasman Region,Tasman,581833,SH 60,Fine,car,Dark,Sealed,Highway,100,NA,0,1,TRUE
174.8697646,-36.96535873,1766448,5907337,2003,not holiday,Auckland Region,Counties Manukau,523601,SH 1N,Fine,car,Dark,Sealed,Highway,100,1,0,1,TRUE
174.979614,-41.18050339,1766038,5439316,2008,not holiday,Wellington Region,Wellington,568103,GEORGE ST,Fine,car,Overcast,Sealed,Urban Road,50,1,0,0,TRUE
173.0664704,-41.25098936,1605569,5433378,2020,not holiday,Tasman Region,Tasman,581836,DOMINION ROAD,Light rain,car,Dark,Sealed,Arterial Road,80,NA,0,0,TRUE
174.4588196,-35.86812262,1731703,6029696,2007,not holiday,Northland Region,Northland,501806,MARSDEN POINT ROAD,Fine,motorcycle,Dark,Sealed,Highway,100,NA,0,1,TRUE
176.0730662,-37.69436044,1870956,5823650,2019,not holiday,Bay of Plenty Region,Bay of Plenty,536503,TE PUNA ROAD,Light rain,motorcycle,Overcast,Sealed,Arterial Road,60,NA,0,0,TRUE
174.8056104,-36.90083446,1760872,5914606,2018,not holiday,Auckland Region,Counties Manukau,520202,GREAT SOUTH ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
174.8587206,-36.98925477,1765413,5904705,2008,not holiday,Auckland Region,Counties Manukau,524603,FREYBERG AVENUE,Fine,car,Dark,Sealed,Urban Road,50,NA,0,0,TRUE
